Circuit,Locked File,Key Size,SAT Attack Runtime (s),Iterations,Key Correct
c3540.bench,locked_circuits/c3540_RLL_K16_6.bench,16,0.515,7,YES
c3540.bench,locked_circuits/c3540_RLL_K16_0.bench,16,0.747,10,YES
c3540.bench,locked_circuits/c3540_RLL_K16_7.bench,16,0.714,8,YES
c3540.bench,locked_circuits/c3540_RLL_K16_2.bench,16,0.784,8,YES
c3540.bench,locked_circuits/c3540_RLL_K16_4.bench,16,0.809,9,YES
c3540.bench,locked_circuits/c3540_RLL_K16_3.bench,16,0.907,11,YES
c3540.bench,locked_circuits/c3540_RLL_K16_5.bench,16,1.039,7,YES
c3540.bench,locked_circuits/c3540_RLL_K16_1.bench,16,1.137,7,YES
c3540.bench,locked_circuits/c3540_RLL_K16_8.bench,16,0.783,9,YES
c3540.bench,locked_circuits/c3540_RLL_K16_9.bench,16,0.634,8,YES
c3540.bench,locked_circuits/c3540_RLL_K32_0.bench,32,0.608,8,YES
c3540.bench,locked_circuits/c3540_RLL_K32_1.bench,32,0.927,12,YES
c3540.bench,locked_circuits/c3540_RLL_K32_2.bench,32,1.177,11,YES
c3540.bench,locked_circuits/c3540_RLL_K32_4.bench,32,0.966,13,YES
c3540.bench,locked_circuits/c3540_RLL_K32_3.bench,32,1.012,12,YES
c3540.bench,locked_circuits/c3540_RLL_K32_5.bench,32,0.995,14,YES
c3540.bench,locked_circuits/c3540_RLL_K32_7.bench,32,0.651,10,YES
c880.bench,locked_circuits/c880_RLL_K16_2.bench,16,0.138,4,YES
c880.bench,locked_circuits/c880_RLL_K16_0.bench,16,0.261,4,YES
c880.bench,locked_circuits/c880_RLL_K16_1.bench,16,0.334,4,YES
c880.bench,locked_circuits/c880_RLL_K16_3.bench,16,0.141,5,YES
c3540.bench,locked_circuits/c3540_RLL_K32_8.bench,32,0.826,12,YES
c880.bench,locked_circuits/c880_RLL_K16_4.bench,16,0.139,6,YES
c880.bench,locked_circuits/c880_RLL_K16_5.bench,16,0.132,3,YES
c880.bench,locked_circuits/c880_RLL_K16_6.bench,16,0.134,6,YES
c3540.bench,locked_circuits/c3540_RLL_K32_6.bench,32,1.206,8,YES
c3540.bench,locked_circuits/c3540_RLL_K32_9.bench,32,0.668,10,YES
c880.bench,locked_circuits/c880_RLL_K16_8.bench,16,0.124,6,YES
c880.bench,locked_circuits/c880_RLL_K16_7.bench,16,0.221,9,YES
c880.bench,locked_circuits/c880_RLL_K16_9.bench,16,0.134,8,YES
c880.bench,locked_circuits/c880_RLL_K32_0.bench,32,0.181,11,YES
c880.bench,locked_circuits/c880_RLL_K32_1.bench,32,0.119,7,YES
c880.bench,locked_circuits/c880_RLL_K32_2.bench,32,0.115,8,YES
c880.bench,locked_circuits/c880_RLL_K32_3.bench,32,0.236,10,YES
c880.bench,locked_circuits/c880_RLL_K32_4.bench,32,0.173,9,YES
c880.bench,locked_circuits/c880_RLL_K32_5.bench,32,0.263,6,YES
c880.bench,locked_circuits/c880_RLL_K32_6.bench,32,0.195,9,YES
c880.bench,locked_circuits/c880_RLL_K32_8.bench,32,0.125,7,YES
c880.bench,locked_circuits/c880_RLL_K32_7.bench,32,0.171,8,YES
c432.bench,locked_circuits/c432_RLL_K16_0.bench,16,0.064,5,YES
c432.bench,locked_circuits/c432_RLL_K16_1.bench,16,0.069,5,YES
c432.bench,locked_circuits/c432_RLL_K16_3.bench,16,0.055,2,YES
c880.bench,locked_circuits/c880_RLL_K32_9.bench,32,0.245,11,YES
c432.bench,locked_circuits/c432_RLL_K16_4.bench,16,0.1,5,YES
c432.bench,locked_circuits/c432_RLL_K16_2.bench,16,0.128,7,YES
c432.bench,locked_circuits/c432_RLL_K16_7.bench,16,0.042,5,YES
c432.bench,locked_circuits/c432_RLL_K16_6.bench,16,0.084,5,YES
c432.bench,locked_circuits/c432_RLL_K16_5.bench,16,0.11,2,YES
c432.bench,locked_circuits/c432_RLL_K16_9.bench,16,0.031,3,YES
c432.bench,locked_circuits/c432_RLL_K16_8.bench,16,0.113,4,YES
c432.bench,locked_circuits/c432_RLL_K32_0.bench,32,0.168,6,YES
c432.bench,locked_circuits/c432_RLL_K32_1.bench,32,0.155,9,YES
c432.bench,locked_circuits/c432_RLL_K32_4.bench,32,0.122,7,YES
c432.bench,locked_circuits/c432_RLL_K32_2.bench,32,0.125,7,YES
c432.bench,locked_circuits/c432_RLL_K32_3.bench,32,0.153,10,YES
c432.bench,locked_circuits/c432_RLL_K32_7.bench,32,0.128,5,YES
c432.bench,locked_circuits/c432_RLL_K32_6.bench,32,0.167,9,YES
c432.bench,locked_circuits/c432_RLL_K32_5.bench,32,0.193,5,YES
c432.bench,locked_circuits/c432_RLL_K32_8.bench,32,0.169,8,YES
c432.bench,locked_circuits/c432_RLL_K32_9.bench,32,0.166,8,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_2.bench,128,66.247,39,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_6.bench,128,53.639,31,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_0.bench,128,73.759,34,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_7.bench,128,74.407,39,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_5.bench,128,62.493,22,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_3.bench,128,64.988,28,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_4.bench,128,72.753,31,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_1.bench,128,67.238,30,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_2.bench,256,78.771,57,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_8.bench,128,68.824,37,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_0.bench,256,85.617,64,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_3.bench,256,82.141,60,YES
b20_C.bench,locked_circuits/b20_C_RLL_K128_9.bench,128,63.482,40,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_1.bench,256,76.072,38,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_4.bench,256,65.032,57,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_5.bench,256,88.009,49,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_6.bench,256,76.231,72,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_0.bench,128,67.516,32,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_9.bench,256,80.71,50,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_1.bench,128,66.227,29,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_8.bench,256,88.235,55,YES
b20_C.bench,locked_circuits/b20_C_RLL_K256_7.bench,256,73.172,57,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_2.bench,128,75.885,45,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_3.bench,128,77.443,40,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_4.bench,128,74.181,32,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_6.bench,128,67.199,35,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_5.bench,128,79.034,46,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_7.bench,128,70.549,37,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_9.bench,128,62.587,28,YES
b21_C.bench,locked_circuits/b21_C_RLL_K128_8.bench,128,78.51,32,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_0.bench,256,73.782,66,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_1.bench,256,80.785,61,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_3.bench,256,69.647,56,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_5.bench,256,91.576,56,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_2.bench,256,71.415,52,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_4.bench,256,76.259,50,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_6.bench,256,75.128,60,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_7.bench,256,87.17,53,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_8.bench,256,82.918,57,YES
b21_C.bench,locked_circuits/b21_C_RLL_K256_9.bench,256,87.237,54,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_3.bench,128,248.391,27,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_1.bench,128,245.056,31,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_2.bench,128,250.839,29,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_4.bench,128,261.804,26,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_0.bench,128,301.221,31,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_5.bench,128,283.562,33,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_6.bench,128,248.064,27,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_7.bench,128,280.363,34,YES
b17_C.bench,locked_circuits/b17_C_RLL_K256_0.bench,256,301.78,63,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_8.bench,128,301.219,37,YES
b17_C.bench,locked_circuits/b17_C_RLL_K128_9.bench,128,309.826,36,YES
b17_C.bench,locked_circuits/b17_C_RLL_K256_4.bench,256,287.179,46,YES
b17_C.bench,locked_circuits/b17_C_RLL_K256_3.bench,256,297.173,51,YES
c1355.bench,locked_circuits/c1355_RLL_K16_0.bench,16,0.539,18,YES
c1355.bench,locked_circuits/c1355_RLL_K16_1.bench,16,0.223,4,YES
c1355.bench,locked_circuits/c1355_RLL_K16_2.bench,16,0.424,12,YES
c1355.bench,locked_circuits/c1355_RLL_K16_3.bench,16,0.586,16,YES
c1355.bench,locked_circuits/c1355_RLL_K16_4.bench,16,0.6,14,YES
c1355.bench,locked_circuits/c1355_RLL_K16_5.bench,16,0.535,12,YES
c1355.bench,locked_circuits/c1355_RLL_K16_6.bench,16,0.277,6,YES
b17_C.bench,locked_circuits/b17_C_RLL_K256_2.bench,256,328.707,41,YES
c1355.bench,locked_circuits/c1355_RLL_K16_7.bench,16,0.412,13,YES
c1355.bench,locked_circuits/c1355_RLL_K16_8.bench,16,0.219,4,YES
c1355.bench,locked_circuits/c1355_RLL_K16_9.bench,16,0.423,12,YES
c1355.bench,locked_circuits/c1355_RLL_K32_1.bench,32,0.753,16,YES
c1355.bench,locked_circuits/c1355_RLL_K32_0.bench,32,1.457,25,YES
